Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
34697052,11/02/2016 11:44:00 PM,11/03/2016 12:00:00 PM,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,,,,,,FOREST AVENUE,MADISON STREET,INTERSECTION,,,N/A,Closed,,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,11/03/2016 12:00:00 PM,05 QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
34700047,11/02/2016 11:42:00 PM,11/03/2016 12:00:00 PM,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,,,,,,PUTNAM AVENUE,FOREST AVENUE,INTERSECTION,,,N/A,Closed,,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,11/03/2016 12:00:00 PM,05 QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
34703186,11/02/2016 11:46:00 PM,11/03/2016 12:00:00 PM,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,,,,,,FOREST AVENUE,WOODBINE STREET,INTERSECTION,,,N/A,Closed,,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,11/03/2016 12:00:00 PM,05 QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
34703700,11/04/2016 09:24:00 AM,11/07/2016 12:00:00 PM,DSNY,A - Queens,Dirty Conditions,"E4 18"" Law",Street,,,,,,GIPSON STREET,MOTT AVENUE,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,11/07/2016 12:00:00 PM,14 QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
34713734,11/04/2016 04:34:00 PM,11/07/2016 12:00:00 PM,DSNY,P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11237,88 HARRISON PLACE,HARRISON PLACE,KNICKERBOCKER AVENUE,PORTER AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,,11/07/2016 12:00:00 PM,01 BROOKLYN,BROOKLYN,1003682,196741,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.706664019613314,-73.92991241116776,"(40.706664019613, -73.929912411168)"
34719142,11/05/2016 02:10:00 PM,11/07/2016 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,,,,,,,,,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,11/07/2016 12:00:00 PM,17 BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
34720286,11/05/2016 04:50:00 PM,11/07/2016 12:00:00 PM,DSNY,P - Queens,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,,3815 100 ST,3815 100 ST,ROOSEVELT AVENUE,99 STREET,,,,,,N/A,Closed,,,11/07/2016 12:00:00 PM,04 QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
34720825,11/06/2016 01:39:00 PM,11/07/2016 12:00:00 PM,DSNY,P - Queens,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11372,89-10 NORTHERN BOULEVARD,NORTHERN BOULEVARD,89 STREET,90 STREET,,,ADDRESS,Jackson Heights,,N/A,Closed,,,11/07/2016 12:00:00 PM,03 QUEENS,QUEENS,1017868,214824,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.75625484647287,-73.87865586579885,"(40.756254846473, -73.878655865799)"
34726668,11/06/2016 04:40:00 PM,11/09/2016 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E5 Loose Rubbish,Sidewalk,,,,,,,,,,,N/A,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/09/2016 12:00:00 PM,07 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
34736267,11/07/2016 03:18:00 PM,11/07/2016 03:18:00 PM,DSNY,P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10469,,,,,TILLOTSON AVENUE,ELY AVENUE,INTERSECTION,BRONX,,N/A,Closed,,,11/07/2016 03:18:00 PM,12 BRONX,BRONX,1028485,259254,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8781557589742,-73.84004104364661,"(40.878155758974, -73.840041043647)"
