ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,Demographi,Demograp_1,Demograp_2,Demograp_3,Demograp_4,Demograp_5,Demograp_6,Demograp_7,Demograp_8,Demograp_9,Demograp10,Demograp11,Demograp12,Demograp13,Demograp14,Demograp15,Demograp16,Demograp17,Demograp18,Demograp19,Demograp20,Demograp21,Demograp22,Demograp23,Demograp24,Demograp25,Demograp26,Demograp27,Demograp28,Demograp29,Demograp30,Demograp31,Demograp32,Demograp33,Demograp34,Demograp35,Demograp36,Demograp37,Demograp38,Demograp39,Demograp40,Demograp41,Demograp42,Demograp43,Demograp44,N_dirty_co,N_light_co,N_assaults
11436,0,Jamaica,18681.00000,22699295.45941,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,2
11213,0,Brooklyn,62426.00000,29631004.43794,NY,Kings,36,047,http://www.usps.com/,0.00000,0.00000,38,17,0.45,21,0.55,0,0,38,100,0,0,0,0,0,0,0,0,32,0.84,0,0,6,0.16,0,0,38,100,1,0.03,37,0.97,0,0,0,0,38,100,10,0.26,28,0.74,0,0,38,100,16,43,35
11212,0,Brooklyn,83866.00000,41972104.07142,NY,Kings,36,047,http://www.usps.com/,0.00000,0.00000,10,8,0.8,2,0.2,0,0,10,100,0,0,1,0.1,0,0,1,0.1,0,0,7,0.7,1,0.1,0,0,10,100,1,0.1,9,0.9,0,0,0,0,10,100,0,0,10,1,0,0,10,100,19,17,61
11225,0,Brooklyn,56527.00000,23698630.12493,NY,Kings,36,047,http://www.usps.com/,0.00000,0.00000,52,52,1,0,0,0,0,52,100,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,52,100,0,0,52,1,0,0,0,0,52,100,22,0.42,30,0.58,0,0,52,100,6,31,24
11218,0,Brooklyn,72280.00000,36868798.98976,NY,Kings,36,047,http://www.usps.com/,0.00000,0.00000,111,97,0.87,14,0.13,0,0,111,100,0,0,1,0.01,0,0,3,0.03,95,0.86,6,0.05,6,0.05,0,0,111,100,8,0.07,102,0.92,1,0.01,0,0,111,100,51,0.46,60,0.54,0,0,111,100,23,31,10
11226,0,Brooklyn,106132.00000,39408598.27901,NY,Kings,36,047,http://www.usps.com/,0.00000,0.00000,10,7,0.7,3,0.3,0,0,10,100,0,0,6,0.6,0,0,0,0,0,0,4,0.4,0,0,0,0,10,100,0,0,10,1,0,0,0,0,10,100,4,0.4,6,0.6,0,0,10,100,19,21,51
11219,0,Brooklyn,92561.00000,42002738.46723,NY,Kings,36,047,http://www.usps.com/,0.00000,0.00000,214,182,0.85,32,0.15,0,0,214,100,0,0,1,0,0,0,1,0,205,0.96,0,0,6,0.03,1,0,214,99,2,0.01,212,0.99,0,0,0,0,214,100,112,0.52,102,0.48,0,0,214,100,19,40,14
11210,0,Brooklyn,67067.00000,47887022.99216,NY,Kings,36,047,http://www.usps.com/,0.00000,0.00000,36,12,0.33,24,0.67,0,0,36,100,0,0,0,0,0,0,0,0,33,0.92,0,0,3,0.08,0,0,36,100,0,0,36,1,0,0,0,0,36,100,11,0.31,25,0.69,0,0,36,100,16,18,20
11230,0,Brooklyn,80857.00000,49926703.39332,NY,Kings,36,047,http://www.usps.com/,0.00000,0.00000,248,194,0.78,54,0.22,0,0,248,100,0,0,1,0,0,0,7,0.03,216,0.87,2,0.01,17,0.07,5,0.02,248,100,3,0.01,245,0.99,0,0,0,0,248,100,42,0.17,206,0.83,0,0,248,100,29,22,14
11204,0,Brooklyn,77354.00000,43555184.61328,NY,Kings,36,047,http://www.usps.com/,0.00000,0.00000,37,17,0.46,20,0.54,0,0,37,100,0,0,0,0,0,0,0,0,36,0.97,0,0,1,0.03,0,0,37,100,1,0.03,36,0.97,0,0,0,0,37,100,19,0.51,18,0.49,0,0,37,100,17,19,4
10471,0,Bronx,23477.00000,89651407.05835,NY,Bronx,36,005,http://www.usps.com/,0.00000,0.00000,43,24,0.56,19,0.44,0,0,43,100,0,0,27,0.63,0,0,1,0.02,2,0.05,12,0.28,1,0.02,0,0,43,100,2,0.05,41,0.95,0,0,0,0,43,100,17,0.4,26,0.6,0,0,43,100,6,10,1
10470,0,Bronx,14740.00000,21543461.58139,NY,Bronx,36,005,http://www.usps.com/,0.00000,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,6
10466,0,Bronx,68942.00000,55262490.61246,NY,Bronx,36,005,http://www.usps.com/,0.00000,0.00000,65,39,0.6,26,0.4,0,0,65,100,1,0.02,14,0.22,0,0,0,0,0,0,50,0.77,0,0,0,0,65,100,3,0.05,62,0.95,0,0,0,0,65,100,17,0.26,48,0.74,0,0,65,100,20,20,29
10467,0,Bronx,97932.00000,69336166.37263,NY,Bronx,36,005,http://www.usps.com/,0.00000,0.00000,106,65,0.61,41,0.39,0,0,106,100,0,0,51,0.48,1,0.01,4,0.04,1,0.01,47,0.44,2,0.02,0,0,106,100,10,0.09,94,0.89,2,0.02,0,0,106,100,33,0.31,73,0.69,0,0,106,100,13,28,38
10463,0,Bronx,70641.00000,36703381.50817,NY,Bronx,36,005,http://www.usps.com/,0.00000,0.00000,59,33,0.56,26,0.44,0,0,59,100,0,0,36,0.61,0,0,0,0,2,0.03,18,0.31,3,0.05,0,0,59,100,3,0.05,54,0.92,2,0.03,0,0,59,100,20,0.34,39,0.66,0,0,59,100,21,11,7
10475,0,Bronx,40931.00000,38633296.93454,NY,Bronx,36,005,http://www.usps.com/,0.00000,0.00000,20,12,0.6,8,0.4,0,0,20,100,0,0,7,0.35,0,0,0,0,1,0.05,12,0.6,0,0,0,0,20,100,2,0.1,18,0.9,0,0,0,0,20,100,8,0.4,12,0.6,0,0,20,100,6,25,9
10464,0,Bronx,4438.00000,76257484.89985,NY,Bronx,36,005,http://www.usps.com/,0.00000,0.00000,15,7,0.47,8,0.53,0,0,15,100,0,0,7,0.47,0,0,1,0.07,0,0,7,0.47,0,0,0,0,15,100,0,0,15,1,0,0,0,0,15,100,7,0.47,8,0.53,0,0,15,100,0,0,0
10469,0,Bronx,65101.00000,68040887.06835,NY,Bronx,36,005,http://www.usps.com/,0.00000,0.00000,10,7,0.7,3,0.3,0,0,10,100,0,0,4,0.4,0,0,0,0,1,0.1,5,0.5,0,0,0,0,10,100,2,0.2,8,0.8,0,0,0,0,10,100,4,0.4,6,0.6,0,0,10,100,11,69,26
10468,0,Bronx,72877.00000,34447604.67222,NY,Bronx,36,005,http://www.usps.com/,0.00000,0.00000,81,46,0.57,35,0.43,0,0,81,100,0,0,35,0.43,0,0,3,0.04,0,0,36,0.44,7,0.09,0,0,81,100,2,0.02,79,0.98,0,0,0,0,81,100,23,0.28,58,0.72,0,0,81,100,12,13,33
