CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
138412705,11/02/2016,13:15:00,11/02/2016,13:30:00,11/14/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,QUEENS,100,INSIDE,GROCERY/BODEGA,,,1041003,155344,40.592886099,-73.795652564,"(40.592886099, -73.795652564)"
134180450,11/02/2016,09:35:00,11/02/2016,09:35:00,11/09/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,42,INSIDE,PUBLIC SCHOOL,,,1011020,246636,40.84360167,-73.903248288,"(40.84360167, -73.903248288)"
544484369,11/02/2016,23:00:00,11/02/2016,23:10:00,11/03/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1039647,195586,40.703349972,-73.800204571,"(40.703349972, -73.800204571)"
851587384,11/02/2016,23:00:00,11/02/2016,23:35:00,11/03/2016,106,FELONY ASSAULT,106,"ASSAULT 2,1,PEACE OFFICER",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,88,INSIDE,HOSPITAL,,,990485,190586,40.689797334,-73.977518653,"(40.689797334, -73.977518653)"
529832130,11/02/2016,22:45:00,11/02/2016,23:04:00,11/03/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,60,INSIDE,RESIDENCE - PUBLIC HOUSING,,,987061,148773,40.575031251,-73.989882667,"(40.575031251, -73.989882667)"
479501443,11/02/2016,22:45:00,11/02/2016,23:04:00,11/03/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,60,INSIDE,RESIDENCE - PUBLIC HOUSING,,,987061,148773,40.575031251,-73.989882667,"(40.575031251, -73.989882667)"
160039709,11/02/2016,20:00:00,11/02/2016,20:30:00,11/03/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,121,FRONT OF,STORE UNCLASSIFIED,,,944402,166984,40.624927586,-74.143549789,"(40.624927586, -74.143549789)"
619967913,11/02/2016,19:45:00,11/02/2016,20:15:00,11/03/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BRONX,47,FRONT OF,RESIDENCE - PUBLIC HOUSING,GUN HILL PLAYGROUND,GUN HILL,1021171,258135,40.875126333,-73.866496863,"(40.875126333, -73.866496863)"
539132895,11/02/2016,19:00:00,11/02/2016,20:00:00,11/03/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,114,INSIDE,RESIDENCE - APT. HOUSE,,,1008435,218626,40.766729419,-73.912691986,"(40.766729419, -73.912691986)"
123415298,11/02/2016,16:00:00,11/02/2016,16:25:00,11/03/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. TRANSIT POLICE,BRONX,52,,TRANSIT - NYC SUBWAY,,,1012627,255339,40.867483777,-73.897403372,"(40.867483777, -73.897403372)"
