CASE#,DATE  OF O,BLOCK,IUCR,PRIMARY DE,SECONDARY,LOCATION D,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINA,Y COORDINA,LATITUDE,LONGITUDE,LOCATION
JC143065,02/07/2019 12:19:00 AM,028XX W FLOURNOY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1135,28,08B,1157568,1896907,41.872871924999998,-87.696962349000003,"(41.872871925, -87.696962349)"
JC143084,02/07/2019 12:27:00 AM,013XX S WABASH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,131,3,08B,1176978,1894244,41.865147497999999,-87.625780301000006,"(41.865147498, -87.625780301)"
JC143202,02/07/2019 01:00:00 AM,012XX W LAKE ST,0810,THEFT,OVER $500,STREET,N,N,1215,27,06,1168330,1901590,41.885496686000003,-87.657314706999998,"(41.885496686, -87.657314707)"
JC150826,02/07/2019 01:55:00 AM,024XX W WASHBURNE AVE,1585,SEX OFFENSE,OTHER,RESIDENCE,N,Y,1023,28,17,1160347,1894206,41.865403131000001,-87.686834013999999,"(41.865403131, -87.686834014)"
JC143117,02/07/2019 02:10:00 AM,023XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,DRIVEWAY - RESIDENTIAL,Y,N,1225,27,14,1160842,1898642,41.877565687999997,-87.684893829000004,"(41.877565688, -87.684893829)"
JC143132,02/07/2019 03:28:00 AM,003XX N STATE ST,0560,ASSAULT,SIMPLE,RESIDENCE,N,N,1831,42,08A,1176300,1902537,41.887919287999999,-87.628019051999999,"(41.887919288, -87.628019052)"
JC143171,02/07/2019 04:30:00 AM,001XX N MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,111,42,07,1177276,1901405,41.884790950999999,-87.624469241000000,"(41.884790951, -87.624469241)"
JC143148,02/07/2019 04:45:00 AM,002XX S STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,N,N,113,42,03,1176417,1899156,41.878638995999999,-87.627691486000003,"(41.878638996, -87.627691486)"
JC143145,02/07/2019 04:53:00 AM,015XX S LAWNDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1014,24,08B,1151960,1892197,41.860059395999997,-87.717676069999996,"(41.860059396, -87.71767607)"
JC144279,02/07/2019 05:00:00 AM,038XX W FLOURNOY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1133,24,08B,1150859,1896754,41.872585925000003,-87.721598377999996,"(41.872585925, -87.721598378)"
JC143151,02/07/2019 05:00:00 AM,0000X E HURON ST,0560,ASSAULT,SIMPLE,STREET,N,N,1834,42,08A,1176469,1905078,41.894888109999997,-87.627321655000003,"(41.89488811, -87.627321655)"
JC143440,02/07/2019 06:00:00 AM,011XX S STATE ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,N,N,123,4,06,1176516,1895361,41.868223053000001,-87.627442576999997,"(41.868223053, -87.627442577)"
JC143998,02/07/2019 06:45:00 AM,004XX E ILLINOIS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1834,42,14,1179473,1903714,41.891076873000003,-87.616330790000006,"(41.891076873, -87.61633079)"
JC145915,02/07/2019 07:00:00 AM,022XX W RACE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1221,26,05,1161453,1903708,41.891454541000002,-87.682509328999998,"(41.891454541, -87.682509329)"
JC143208,02/07/2019 07:00:00 AM,018XX W HUBBARD ST,0810,THEFT,OVER $500,STREET,N,N,1221,27,06,1164061,1903120,41.889786340999997,-87.672948000999995,"(41.889786341, -87.672948001)"
JC143201,02/07/2019 07:10:00 AM,021XX W HARRISON ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,OTHER,Y,N,1225,28,18,1162250,1897350,41.873991017999998,-87.679760150000007,"(41.873991018, -87.67976015)"
JC146351,02/07/2019 07:45:00 AM,027XX W ADAMS ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),N,N,1125,27,26,1158118,1898911,41.878359889000002,-87.694888308000003,"(41.878359889, -87.694888308)"
JC143497,02/07/2019 08:00:00 AM,041XX W MAYPOLE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1114,28,05,1148812,1901133,41.884642184999997,-87.729000694000007,"(41.884642185, -87.729000694)"
JC143962,02/07/2019 08:00:00 AM,030XX W FRANKLIN BLVD,0820,THEFT,$500 AND UNDER,RESIDENCE,N,Y,1221,27,06,1155800,1903175,41.890107723000000,-87.703284580000002,"(41.890107723, -87.70328458)"
