CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JC109748,01/08/2019 04:15:00 PM,006XX S CENTRAL AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,PARKING LOT/GARAGE(NON.RESID.),Y,N,1522,29,08B,1139153,1896560,41.872274452,-87.764581664,"(41.872274452, -87.764581664)"
JC115911,01/07/2019 03:00:00 PM,001XX W BURTON PL,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1821,27,06,1174754,1910265,41.909160051,-87.633464899,"(41.909160051, -87.633464899)"
JC120659,01/11/2019 03:00:00 PM,021XX N SEMINARY AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1811,43,06,1168617,1914458,41.920801075,-87.655887629,"(41.920801075, -87.655887629)"
JC111220,01/10/2019 12:15:00 AM,001XX W GRAND AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1831,42,06,1175344,1903878,41.891620575,-87.63148948,"(41.891620575, -87.63148948)"
JC115284,01/12/2019 11:30:00 AM,010XX W NORTH AVE,0890,THEFT,FROM BUILDING,APPLIANCE STORE,Y,N,1811,2,06,1169336,1910832,41.910835515,-87.653351515,"(41.910835515, -87.653351515)"
JC125364,01/12/2019 12:00:00 AM,0000X W ILLINOIS ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,1831,42,06,,,,,
JC113136,01/11/2019 03:27:00 PM,035XX S WESTERN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,Y,N,911,12,04A,1160940,1881218,41.829750417,-87.685017033,"(41.829750417, -87.685017033)"
JC115794,01/13/2019 06:40:00 PM,028XX E 104TH ST,031A,ROBBERY,ARMED: HANDGUN,STREET,N,N,434,10,03,1196515,1836561,41.706397783,-87.555975609,"(41.706397783, -87.555975609)"
JC114717,01/12/2019 02:35:00 PM,014XX N HALSTED ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1822,27,06,1170748,1909783,41.907926167,-87.64819515,"(41.907926167, -87.64819515)"
JC116662,01/13/2019 02:00:00 PM,020XX N CLARK ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1814,43,06,1173986,1913691,41.918578314,-87.636183854,"(41.918578314, -87.636183854)"
JC100211,01/01/2019 02:30:00 AM,002XX W NORTH AVE,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,BAR OR TAVERN,Y,N,1821,27,08B,1174220,1910988,41.911155937,-87.635404942,"(41.911155937, -87.635404942)"
JC112644,01/11/2019 08:15:00 AM,0000X W 110TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,513,34,11,1177893,1832025,41.694391421,-87.624304648,"(41.694391421, -87.624304648)"
JC107416,01/06/2019 11:31:00 PM,039XX W ALTGELD ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,Y,N,2524,31,04A,1149537,1916331,41.926332964,-87.725943199,"(41.926332964, -87.725943199)"
JC104212,01/03/2019 10:27:00 PM,020XX S KILBOURN AVE,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,FACTORY/MANUFACTURING BUILDING,N,N,1012,24,24,1146705,1889904,41.853868895,-87.737024414,"(41.853868895, -87.737024414)"
JC124956,01/13/2019 12:43:00 PM,006XX S INDEPENDENCE BLVD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,N,N,1133,24,11,1151362,1897011,41.87328131,-87.71974488,"(41.87328131, -87.71974488)"
JC117240,01/12/2019 11:00:00 AM,064XX S COTTAGE GROVE AVE,0620,BURGLARY,UNLAWFUL ENTRY,OTHER,Y,N,312,20,05,1182672,1862395,41.777620866,-87.605867698,"(41.777620866, -87.605867698)"
JC106299,01/05/2019 08:22:00 PM,002XX E HURON ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,Y,N,1834,42,08B,1178046,1905133,41.895003278,-87.62152816,"(41.895003278, -87.62152816)"
JC114482,01/12/2019 02:30:00 PM,037XX W WILSON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,1723,35,08A,1150619,1930308,41.964665839,-87.721600782,"(41.964665839, -87.721600782)"
JC125425,01/07/2019 12:55:00 PM,061XX N MOZART ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,2413,50,11,1156229,1940611,41.992826037,-87.700694442,"(41.992826037, -87.700694442)"
JC111075,01/09/2019 05:00:00 PM,002XX N MASON AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,Y,Y,1512,29,26,1136729,1901071,41.884696976,-87.773373307,"(41.884696976, -87.773373307)"
JC114828,01/12/2019 09:00:00 PM,075XX N PAULINA ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,Y,N,2422,49,04A,1163642,1950114,42.018748975,-87.673157281,"(42.018748975, -87.673157281)"
JC107463,01/04/2019 07:59:00 PM,027XX N MILWAUKEE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,BAR OR TAVERN,Y,N,1412,35,26,1153804,1917985,41.93078766,-87.710219712,"(41.93078766, -87.710219712)"
JC107272,01/06/2019 02:45:00 PM,025XX S MICHIGAN AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,Y,N,133,4,08A,1177647,1887564,41.846801978,-87.623527134,"(41.846801978, -87.623527134)"
JC101959,01/02/2019 03:31:00 PM,027XX N DRAKE AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,RESIDENCE-GARAGE,Y,N,1412,35,03,1152246,1917957,41.930741754,-87.715945805,"(41.930741754, -87.715945805)"
JC154749,01/09/2019 10:00:00 AM,005XX E 90TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,633,9,26,1181338,1845421,41.731073247,-87.611280355,"(41.731073247, -87.611280355)"
JC109929,01/08/2019 08:30:00 PM,042XX W WILCOX ST,031A,ROBBERY,ARMED: HANDGUN,ABANDONED BUILDING,Y,N,1115,28,03,1148126,1898998,41.878796732,-87.731574779,"(41.878796732, -87.731574779)"
JC153384,01/07/2019 09:10:00 AM,0000X W MONROE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,N,N,112,42,26,1175804,1899905,41.880708104,-87.629919733,"(41.880708104, -87.629919733)"
JC153303,01/08/2019 12:01:00 AM,035XX W WALNUT ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1123,28,11,1152821,1901467,41.8854803,-87.714270133,"(41.8854803, -87.714270133)"
JC155767,01/08/2019 10:40:00 AM,0000X W TERMINAL ST,0820,THEFT,$500 AND UNDER,AIRCRAFT,N,N,1651,41,06,1100317,1935229,41.979006297,-87.906463155,"(41.979006297, -87.906463155)"
JC153903,01/01/2019 12:01:00 AM,061XX N DRAKE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1711,50,11,1151603,1940528,41.992690797,-87.717712796,"(41.992690797, -87.717712796)"
JC100105,01/01/2019 01:30:00 AM,016XX W SHERWIN AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,RESIDENCE,N,Y,2423,49,17,1164265,1948722,42.014916096,-87.670904385,"(42.014916096, -87.670904385)"
JC153789,01/03/2019 01:30:00 PM,049XX W POTOMAC AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2533,37,11,1143134,1908196,41.90413171,-87.749674916,"(41.90413171, -87.749674916)"
JC153333,01/05/2019 12:00:00 AM,006XX N WELLS ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER,N,N,1832,42,11,1174622,1904579,41.893560332,-87.634120048,"(41.893560332, -87.634120048)"
JC117672,01/10/2019 04:30:00 PM,055XX W GRAND AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,POLICE FACILITY/VEH PARKING LOT,N,N,2515,37,11,1138788,1913480,41.918711651,-87.76551063,"(41.918711651, -87.76551063)"
JC154573,01/10/2019 09:15:00 AM,102XX S GREEN ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2232,34,06,1172458,1836896,41.707879237,-87.644060898,"(41.707879237, -87.644060898)"
JC155698,01/09/2019 09:00:00 AM,130XX S MARQUETTE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,433,10,11,1196435,1819083,41.658438247,-87.556845401,"(41.658438247, -87.556845401)"
JC148558,01/11/2019 02:00:00 PM,043XX W WASHINGTON BLVD,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,"SCHOOL, PRIVATE, BUILDING",N,N,1115,28,17,1147484,1900142,41.881948328,-87.733902763,"(41.881948328, -87.733902763)"
JC153401,01/12/2019 09:00:00 AM,015XX S ST LOUIS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,N,N,1021,24,07,1153288,1892198,41.860035905,-87.712801279,"(41.860035905, -87.712801279)"
JC103318,01/02/2019 03:00:00 PM,011XX W JACKSON BLVD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,N,N,1232,25,11,1168933,1898798,41.877822179,-87.655181405,"(41.877822179, -87.655181405)"
JC155635,01/12/2019 08:00:00 PM,014XX N SEDGWICK ST,0560,ASSAULT,SIMPLE,APARTMENT,N,N,1821,27,08A,1173383,1909988,41.908430535,-87.638509526,"(41.908430535, -87.638509526)"
JC108533,01/07/2019 07:50:00 PM,015XX N SEDGWICK ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,Y,N,1821,2,06,1173364,1910604,41.910121292,-87.638560993,"(41.910121292, -87.638560993)"
JC153939,01/13/2019 04:00:00 PM,037XX W LYNDALE ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2525,35,06,1151039,1914695,41.921814309,-87.720466978,"(41.921814309, -87.720466978)"
JC153473,01/01/2019 07:00:00 AM,048XX S HERMITAGE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"SCHOOL, PUBLIC, GROUNDS",N,N,931,15,26,1165496,1872583,41.805959456,-87.668546202,"(41.805959456, -87.668546202)"
JC154855,01/13/2019 11:56:00 AM,008XX N CLARK ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1832,2,26,1175387,1906013,41.897478161,-87.631267403,"(41.897478161, -87.631267403)"
JC106182,01/05/2019 06:15:00 PM,003XX N WELLS ST,0810,THEFT,OVER $500,CTA STATION,Y,N,1831,42,06,1174672,1902829,41.888757117,-87.633988801,"(41.888757117, -87.633988801)"
JC156968,01/10/2019 09:00:00 AM,024XX W WALTON ST,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,N,N,1212,26,06,1159965,1906249,41.8984581,-87.687903858,"(41.8984581, -87.687903858)"
JC111002,01/08/2019 07:50:00 PM,034XX W MARQUETTE RD,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,831,23,15,1154609,1859973,41.771579914,-87.708811912,"(41.771579914, -87.708811912)"
JC157075,01/06/2019 09:00:00 AM,066XX S STONY ISLAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,N,N,321,5,11,1188019,1861082,41.773892091,-87.58630763,"(41.773892091, -87.58630763)"
JC156956,01/10/2019 08:00:00 PM,043XX W MADISON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,1115,28,11,1147532,1899662,41.880630232,-87.73373882,"(41.880630232, -87.73373882)"
JC156930,01/05/2019 10:09:00 PM,029XX N CLYBOURN AVE,0820,THEFT,$500 AND UNDER,OTHER,N,N,1931,32,06,1161630,1919455,41.934661759,-87.681419722,"(41.934661759, -87.681419722)"
JC103531,01/03/2019 06:00:00 PM,053XX W GLADYS AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1522,29,03,1140819,1897823,41.875709834,-87.758433911,"(41.875709834, -87.758433911)"
JC158073,01/07/2019 03:00:00 PM,002XX W 87TH ST,5011,OTHER OFFENSE,LICENSE VIOLATION,OTHER,N,N,622,21,26,1176442,1847223,41.736129473,-87.629162044,"(41.736129473, -87.629162044)"
JC158494,01/01/2019 05:30:00 PM,031XX N KNOX AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2521,31,11,1144814,1920459,41.937751082,-87.743193783,"(41.937751082, -87.743193783)"
JC158493,01/05/2019 05:00:00 AM,063XX S MARSHFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,725,15,14,1166415,1862567,41.778454784,-87.66546103,"(41.778454784, -87.66546103)"
JC158138,01/14/2019 12:00:00 AM,015XX N BOSWORTH AVE,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,1433,2,06,1165777,1910328,41.909529186,-87.666440349,"(41.909529186, -87.666440349)"
JC114450,01/12/2019 03:30:00 PM,016XX W 89TH ST,0560,ASSAULT,SIMPLE,SIDEWALK,Y,N,2221,21,08A,1166807,1845677,41.732097927,-87.664505307,"(41.732097927, -87.664505307)"
JC158592,01/01/2019 06:00:00 PM,006XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,N,N,1834,42,11,1177327,1904307,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
JC158455,01/01/2019 12:01:00 AM,023XX W GARFIELD BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,932,16,26,1161925,1868137,41.793834119,-87.681766952,"(41.793834119, -87.681766952)"
JC105347,01/05/2019 05:02:00 AM,007XX W GARFIELD BLVD,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,935,20,05,1172214,1868395,41.79432191,-87.644030302,"(41.79432191, -87.644030302)"
JC158566,01/01/2019 06:00:00 PM,006XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,OTHER,N,N,1834,42,06,1177327,1904307,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
JC112632,01/10/2019 09:00:00 PM,002XX S STATE ST,031A,ROBBERY,ARMED: HANDGUN,CTA TRAIN,N,N,113,42,03,1176417,1899156,41.878638996,-87.627691486,"(41.878638996, -87.627691486)"
JC116888,01/13/2019 12:00:00 AM,060XX S HARPER AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,N,Y,314,5,08B,1187484,1865036,41.784754925,-87.588143196,"(41.784754925, -87.588143196)"
JC158165,01/11/2019 08:00:00 AM,036XX W BYRON ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1732,45,11,1151524,1925684,41.951959482,-87.718395318,"(41.951959482, -87.718395318)"
JC155266,01/10/2019 12:01:00 AM,028XX W HARRISON ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,OTHER,Y,N,1135,28,22,,,,,
JC160414,01/11/2019 11:00:00 AM,005XX W 127TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,523,9,11,,,,,
JC159319,01/10/2019 01:00:00 PM,003XX S WELLS ST,0810,THEFT,OVER $500,CONSTRUCTION SITE,N,N,122,42,06,1174780,1898767,41.877608332,-87.633713798,"(41.877608332, -87.633713798)"
JC160398,01/11/2019 03:00:00 PM,023XX W 115TH ST,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESIDENCE,N,N,2212,19,10,,,,,
JC159681,01/09/2019 10:50:00 AM,0000X S LAFLIN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1224,28,11,1166409,1900018,41.881224307,-87.66441395,"(41.881224307, -87.66441395)"
