GEO,Intentional homicide,Attempted intentional homicide,Assault,Kidnapping,Sexual violence,Robbery,Burglary,Theft,TOTAL
BE,202,805,69632,1159,11172,180249,105518,247806,616543
BG,109,67,2470,87,632,2977,17163,48839,72344
CZ,91,91,18689,11,2109,3051,62384,136309,222735
DK,42,,9260,,1966,3192,78897,197631,290988
DE,623,1591,127869,4964,46793,47234,437520,1351493,2018087
EE,52,10,99,1,240,476,,17012,17890
IE,83,,12644,124,1886,2806,26218,78737,122498
EL,141,177,5611,95,860,4919,67645,132200,211648
ES,302,662,16701,121,8923,86034,167320,204963,485026
FR,777,1306,221899,2266,27778,124657,381454,1390243,2150380
HR,46,126,823,1,740,1523,18483,18763,40505
IT,504,1588,66317,325,,63770,,1283339,1415843
CY,11,8,132,19,47,149,2676,2562,5604
LV,69,5,458,18,377,917,955,21970,24769
LT,172,14,211,46,352,1866,,24360,27021
LU,1,84,3018,48,405,582,3399,10701,18238
HU,138,105,13377,7,679,2298,37688,129968,184260
MT,6,3,218,0,94,207,1438,8794,10760
NL,125,3260,52855,505,8320,13115,291270,665750,1035200
AT,61,105,3734,4,4556,3737,88703,154002,254902
PL,298,277,8571,445,2122,12389,118534,215658,358294
PT,144,,25698,432,2238,16590,38390,109701,193193
RO,336,595,17572,,1723,2933,19573,60449,103181
SI,12,28,1849,4,378,377,15370,35563,53581
SK,78,0,2017,4,,836,11167,23139,37241
FI,88,264,35503,1,1542,1524,17168,125351,181441
SE,87,,80374,,16902,8361,85453,410762,601939
UK,609,439,325894,2041,54341,60296,474609,1531115,2449344
IS,1,5,92,,,49,1092,4310,5549
LI,0,0,103,0,42,1,125,238,509
NO,46,57,2566,,2501,1667,15740,133302,155879
CH,57,155,568,324,7239,5424,68730,153767,236264
ME,9,40,173,1,23,7,1181,778,2212
MK,20,52,216,18,151,468,15109,6037,22071
RS,131,216,1286,9,321,3836,24729,33912,64440
