GEO,Intentional homicide,Attempted intentional homicide,Assault,Kidnapping,Sexual violence,Robbery,Burglary,Theft,TOTAL,POP
BE,1.81,7.21,623.85,10.38,100.09,1614.9,945.36,2220.16,5523.76,11161654
BG,1.5,0.92,33.91,1.19,8.68,40.87,235.61,670.45,993.13,7284444
CZ,0.87,0.87,177.72,0.1,20.05,29.01,593.22,1296.19,2118.03,10516140
DK,0.75,,165.28,,35.09,56.97,1408.21,3527.47,5193.77,5602635
DE,0.76,1.94,155.9,6.05,57.05,57.59,533.43,1647.75,2460.47,82020386
EE,3.94,0.76,7.5,0.08,18.18,36.06,,1288.62,1355.14,1320159
IE,1.81,,275.4,2.7,41.08,61.12,571.06,1715,2668.17,4591087
EL,1.28,1.61,50.99,0.86,7.82,44.7,614.75,1201.42,1923.43,11003676
ES,0.65,1.42,35.74,0.26,19.1,184.12,358.07,438.63,1037.99,46727425
FR,1.18,1.99,338.26,3.45,42.34,190.02,581.48,2119.26,3277.98,65600766
HR,1.08,2.96,19.31,0.02,17.36,35.73,433.66,440.22,950.34,4262159
IT,0.84,2.66,111.11,0.54,,106.84,,2150.18,2372.17,59685562
CY,1.27,0.92,15.24,2.19,5.43,17.21,309.05,295.88,647.19,865897
LV,3.41,0.25,22.63,0.89,18.63,45.31,47.19,1085.57,1223.88,2023810
LT,5.79,0.47,7.1,1.55,11.84,62.79,,819.68,909.22,2971888
LU,0.19,15.64,561.97,8.94,75.41,108.37,632.91,1992.59,3396.02,537040
HU,1.39,1.06,135,0.07,6.85,23.19,380.35,1311.64,1859.55,9908849
MT,1.42,0.71,51.74,0,22.31,49.13,341.27,2087.03,2553.61,421364
NL,0.74,19.43,315,3.01,49.58,78.16,1735.86,3967.62,6169.4,16779590
AT,0.72,1.24,44.18,0.05,53.91,44.22,1049.51,1822.11,3015.94,8451826
PL,0.78,0.73,22.52,1.17,5.58,32.55,311.42,566.59,941.34,38062124
PT,1.37,,245.04,4.12,21.34,158.19,366.06,1046.04,1842.16,10487308
RO,1.68,2.97,87.77,,8.61,14.65,97.77,301.94,515.39,20019985
SI,0.58,1.36,89.81,0.19,18.36,18.31,746.54,1727.35,2602.5,2058828
SK,1.44,0,37.28,0.07,,15.45,206.38,427.64,688.26,5410891
FI,1.62,4.86,654.23,0.02,28.42,28.08,316.36,2309.9,3343.49,5426695
SE,0.91,,841.09,,176.88,87.5,894.24,4298.52,6299.14,9555892
UK,0.95,0.69,509.96,3.19,85.03,94.35,742.67,2395.91,3832.77,63905370
IS,0.31,1.55,28.58,,,15.22,339.28,1339.1,1724.04,321860
LI,0,0,279.6,0,114.01,2.71,339.32,646.07,1381.71,36838
NO,0.91,1.13,50.8,,49.51,33,311.6,2638.98,3085.93,5051281
CH,0.71,1.93,7.07,4.03,90.05,67.47,854.95,1912.75,2938.96,8039034
ME,1.45,6.44,27.86,0.16,3.7,1.13,190.21,125.3,356.25,620912
MK,0.97,2.52,10.47,0.87,7.32,22.69,732.63,292.73,1070.2,2062325
RS,1.82,3.01,17.91,0.13,4.47,53.41,344.34,472.21,897.3,7181545
