,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,Demographi,Demograp_1,Demograp_2,Demograp_3,Demograp_4,Demograp_5,Demograp_6,Demograp_7,Demograp_8,Demograp_9,Demograp10,Demograp11,Demograp12,Demograp13,Demograp14,Demograp15,Demograp16,Demograp17,Demograp18,Demograp19,Demograp20,Demograp21,Demograp22,Demograp23,Demograp24,Demograp25,Demograp26,Demograp27,Demograp28,Demograp29,Demograp30,Demograp31,Demograp32,Demograp33,Demograp34,Demograp35,Demograp36,Demograp37,Demograp38,Demograp39,Demograp40,Demograp41,Demograp42,Demograp43,Demograp44,n_assaults,n_subwayex,Demograp45,Demograp46,Demograp47,Demograp48,Demograp49,Demograp50,Demograp51,Demograp52,Demograp53,Demograp54,Demograp55,Demograp56,Demograp57,Demograp58,Demograp59,Demograp60,Demograp61,Demograp62,Demograp63,Demograp64,Demograp65,Demograp66,Demograp67,Demograp68,Demograp69,Demograp70,Demograp71,Demograp72,Demograp73,Demograp74,Demograp75,Demograp76,Demograp77,Demograp78,Demograp79,Demograp80,Demograp81,Demograp82,Demograp83,Demograp84,Demograp85,Demograp86,Demograp87,Demograp88,Demograp89,spp,app,geometry,w_subway,m4_e
0,11436,0,Jamaica,18681.0,22699295.4594,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010706,<pysal.cg.shapes.Polygon object at 0x130e4e250>,3.25,-3.39836157143
1,11213,0,Brooklyn,62426.0,29631004.4379,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,38,17,0.45,21,0.55,0,0,38,100,0,0,0,0,0,0,0,0,32,0.84,0,0,6,0.16,0,0,38,100,1,0.03,37,0.97,0,0,0,0,38,100,10,0.26,28,0.74,0,0,38,100,35,12,38.0,17.0,0.45,21.0,0.55,0.0,0.0,38.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.84,0.0,0.0,6.0,0.16,0.0,0.0,38.0,100.0,1.0,0.03,37.0,0.97,0.0,0.0,0.0,0.0,38.0,100.0,10.0,0.26,28.0,0.74,0.0,0.0,38.0,100.0,0.000192227,0.000560663,<pysal.cg.shapes.Polygon object at 0x130e4ea50>,9.6,13.1858575322
2,11212,0,Brooklyn,83866.0,41972104.0714,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,10,8,0.8,2,0.2,0,0,10,100,0,0,1,0.1,0,0,1,0.1,0,0,7,0.7,1,0.1,0,0,10,100,1,0.1,9,0.9,0,0,0,0,10,100,0,0,10,1,0,0,10,100,61,10,10.0,8.0,0.8,2.0,0.2,0.0,0.0,10.0,100.0,0.0,0.0,1.0,0.1,0.0,0.0,1.0,0.1,0.0,0.0,7.0,0.7,1.0,0.1,0.0,0.0,10.0,100.0,1.0,0.1,9.0,0.9,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,10.0,1.0,0.0,0.0,10.0,100.0,0.000119237,0.00072735,<pysal.cg.shapes.Polygon object at 0x130e4e090>,12.4,33.1802997564
3,11225,0,Brooklyn,56527.0,23698630.1249,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,52,52,1,0,0,0,0,52,100,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,52,100,0,0,52,1,0,0,0,0,52,100,22,0.42,30,0.58,0,0,52,100,24,14,52.0,52.0,1.0,0.0,0.0,0.0,0.0,52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,100.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,52.0,100.0,22.0,0.42,30.0,0.58,0.0,0.0,52.0,100.0,0.000247669,0.000424575,<pysal.cg.shapes.Polygon object at 0x130e4ec10>,14.8333333333,4.56965631302
4,11218,0,Brooklyn,72280.0,36868798.9898,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,111,97,0.87,14,0.13,0,0,111,100,0,0,1,0.01,0,0,3,0.03,95,0.86,6,0.05,6,0.05,0,0,111,100,8,0.07,102,0.92,1,0.01,0,0,111,100,51,0.46,60,0.54,0,0,111,100,10,14,111.0,97.0,0.87,14.0,0.13,0.0,0.0,111.0,100.0,0.0,0.0,1.0,0.01,0.0,0.0,3.0,0.03,95.0,0.86,6.0,0.05,6.0,0.05,0.0,0.0,111.0,100.0,8.0,0.07,102.0,0.92,1.0,0.01,0.0,0.0,111.0,100.0,51.0,0.46,60.0,0.54,0.0,0.0,111.0,100.0,0.000193691,0.00013835,<pysal.cg.shapes.Polygon object at 0x130e4e310>,16.0,-12.734052679
5,11226,0,Brooklyn,106132.0,39408598.279,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,10,7,0.7,3,0.3,0,0,10,100,0,0,6,0.6,0,0,0,0,0,0,4,0.4,0,0,0,0,10,100,0,0,10,1,0,0,0,0,10,100,4,0.4,6,0.6,0,0,10,100,51,19,10.0,7.0,0.7,3.0,0.3,0.0,0.0,10.0,100.0,0.0,0.0,6.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,10.0,100.0,4.0,0.4,6.0,0.6,0.0,0.0,10.0,100.0,0.000179022,0.000480533,<pysal.cg.shapes.Polygon object at 0x130e4e0d0>,13.5,17.148447008
6,11219,0,Brooklyn,92561.0,42002738.4672,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,214,182,0.85,32,0.15,0,0,214,100,0,0,1,0,0,0,1,0,205,0.96,0,0,6,0.03,1,0,214,99,2,0.01,212,0.99,0,0,0,0,214,100,112,0.52,102,0.48,0,0,214,100,14,19,214.0,182.0,0.85,32.0,0.15,0.0,0.0,214.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,205.0,0.96,0.0,0.0,6.0,0.03,1.0,0.0,214.0,99.0,2.0,0.01,212.0,0.99,0.0,0.0,0.0,0.0,214.0,100.0,112.0,0.52,102.0,0.48,0.0,0.0,214.0,100.0,0.00020527,0.000151251,<pysal.cg.shapes.Polygon object at 0x130e4e3d0>,10.4,-15.1339681365
7,11210,0,Brooklyn,67067.0,47887022.9922,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,36,12,0.33,24,0.67,0,0,36,100,0,0,0,0,0,0,0,0,33,0.92,0,0,3,0.08,0,0,36,100,0,0,36,1,0,0,0,0,36,100,11,0.31,25,0.69,0,0,36,100,20,8,36.0,12.0,0.33,24.0,0.67,0.0,0.0,36.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.92,0.0,0.0,3.0,0.08,0.0,0.0,36.0,100.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,36.0,100.0,11.0,0.31,25.0,0.69,0.0,0.0,36.0,100.0,0.000119283,0.000298209,<pysal.cg.shapes.Polygon object at 0x130e4e710>,8.8,-1.87255236679
8,11230,0,Brooklyn,80857.0,49926703.3933,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,248,194,0.78,54,0.22,0,0,248,100,0,0,1,0,0,0,7,0.03,216,0.87,2,0.01,17,0.07,5,0.02,248,100,3,0.01,245,0.99,0,0,0,0,248,100,42,0.17,206,0.83,0,0,248,100,14,20,248.0,194.0,0.78,54.0,0.22,0.0,0.0,248.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.03,216.0,0.87,2.0,0.01,17.0,0.07,5.0,0.02,248.0,100.0,3.0,0.01,245.0,0.99,0.0,0.0,0.0,0.0,248.0,100.0,42.0,0.17,206.0,0.83,0.0,0.0,248.0,100.0,0.00024735,0.000173145,<pysal.cg.shapes.Polygon object at 0x130e4e450>,12.0,-12.3788519832
9,11204,0,Brooklyn,77354.0,43555184.6133,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,37,17,0.46,20,0.54,0,0,37,100,0,0,0,0,0,0,0,0,36,0.97,0,0,1,0.03,0,0,37,100,1,0.03,36,0.97,0,0,0,0,37,100,19,0.51,18,0.49,0,0,37,100,4,8,37.0,17.0,0.46,20.0,0.54,0.0,0.0,37.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.97,0.0,0.0,1.0,0.03,0.0,0.0,37.0,100.0,1.0,0.03,36.0,0.97,0.0,0.0,0.0,0.0,37.0,100.0,19.0,0.51,18.0,0.49,0.0,0.0,37.0,100.0,0.00010342,5.171e-05,<pysal.cg.shapes.Polygon object at 0x130e4e150>,16.3333333333,-19.1445711145
